datetime,indicator_name,indicator_dimension,value
2024-06-02 17:00:00,Temperature,°C,19.63
2024-06-02 17:00:00,Humidity,%,16.89
2024-06-02 17:00:00,Pressure,Pa,98227.02
2024-06-02 17:00:00,NO₂,ppm,0.2463
2024-06-02 17:00:00,CO,ppm,0.007
2024-06-02 17:20:00,Temperature,°C,16.54
2024-06-02 17:20:00,Humidity,%,14.2853
2024-06-02 17:20:00,Pressure,Pa,98230.6116
2024-06-02 17:20:00,PM2.5,ug/m3,6.2422
2024-06-02 17:20:00,PM10,ug/m3,10.1767
2024-06-02 17:20:00,NO₂,ppm,0.8573
2024-06-02 17:20:00,CO,ppm,0.0064
2024-06-02 17:40:00,Temperature,°C,14.1225
2024-06-02 17:40:00,Humidity,%,14.6663
2024-06-02 17:40:00,Pressure,Pa,98229.0913
2024-06-02 17:40:00,PM2.5,ug/m3,6.4731
2024-06-02 17:40:00,PM10,ug/m3,11.1394
2024-06-02 17:40:00,NO₂,ppm,1.415
2024-06-02 17:40:00,CO,ppm,0.0055
2024-06-02 18:00:00,Temperature,°C,13.3488
2024-06-02 18:00:00,Humidity,%,15.2624
2024-06-02 18:00:00,Pressure,Pa,98224.3135
2024-06-02 18:00:00,PM2.5,ug/m3,6.99
2024-06-02 18:00:00,PM10,ug/m3,11.4482
2024-06-02 18:00:00,NO₂,ppm,1.715
2024-06-02 18:00:00,CO,ppm,0.0053
2024-06-02 18:20:00,Temperature,°C,13.1281
2024-06-02 18:20:00,Humidity,%,15.4487
2024-06-02 18:20:00,Pressure,Pa,98206.1531
2024-06-02 18:20:00,PM2.5,ug/m3,10.6653
2024-06-02 18:20:00,PM10,ug/m3,15.7973
2024-06-02 18:20:00,NO₂,ppm,1.8979
2024-06-02 18:20:00,CO,ppm,0.0054
2024-06-02 18:40:00,Temperature,°C,13.2394
2024-06-02 18:40:00,Humidity,%,15.7456
2024-06-02 18:40:00,Pressure,Pa,98196.7619
2024-06-02 18:40:00,PM2.5,ug/m3,8.81
2024-06-02 18:40:00,PM10,ug/m3,13.2253
2024-06-02 18:40:00,NO₂,ppm,1.9935
2024-06-02 18:40:00,CO,ppm,0.0059
2024-06-02 19:00:00,Temperature,°C,13.225
2024-06-02 19:00:00,Humidity,%,15.9344
2024-06-02 19:00:00,Pressure,Pa,98192.8544
2024-06-02 19:00:00,PM2.5,ug/m3,10.7681
2024-06-02 19:00:00,PM10,ug/m3,15.6275
2024-06-02 19:00:00,NO₂,ppm,2.1255
2024-06-02 19:00:00,CO,ppm,0.0055
2024-06-02 19:20:00,Temperature,°C,12.9829
2024-06-02 19:20:00,Humidity,%,16.0518
2024-06-02 19:20:00,Pressure,Pa,98192.1418
